시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
서울특별시 노원구 공릉동,670-7,0670,0007,6.7디벨리움,17.27,202107,22,"        17,900",15,2016,화랑로 443,,-,-
서울특별시 노원구 공릉동,670-7,0670,0007,6.7디벨리움,28.67,202107,24,"        22,000",17,2016,화랑로 443,,-,-
서울특별시 노원구 공릉동,670-7,0670,0007,6.7디벨리움,17.27,202108,7,"        17,000",11,2016,화랑로 443,,-,-
서울특별시 노원구 공릉동,404-3,0404,0003,건영아파트,59.94,202108,16,"        57,500",11,1998,동일로173가길 145,,-,-
서울특별시 노원구 공릉동,404-3,0404,0003,건영아파트,59.94,202110,31,"        59,000",12,1998,동일로173가길 145,,-,-
서울특별시 노원구 공릉동,744,0744,0000,건영장미아파트,84.88,202104,28,"        69,800",7,1999,공릉로51길 14-17,,-,-
서울특별시 노원구 공릉동,744,0744,0000,건영장미아파트,84.88,202106,12,"        75,700",9,1999,공릉로51길 14-17,20210729,-,-
서울특별시 노원구 공릉동,744,0744,0000,건영장미아파트,59.87,202107,29,"        59,000",20,1999,공릉로51길 14-17,,-,-
서울특별시 노원구 공릉동,744,0744,0000,건영장미아파트,84.88,202107,29,"        75,700",9,1999,공릉로51길 14-17,,-,-
서울특별시 노원구 공릉동,744,0744,0000,건영장미아파트,59.87,202108,5,"        55,500",2,1999,공릉로51길 14-17,,-,-
서울특별시 노원구 공릉동,749,0749,0000,공릉2신도브래뉴아파트,84.48,202105,26,"        69,000",6,2002,동일로193길 7,,-,-
서울특별시 노원구 공릉동,749,0749,0000,공릉2신도브래뉴아파트,84.75,202106,6,"        77,800",4,2002,동일로193길 7,,-,-
서울특별시 노원구 공릉동,749,0749,0000,공릉2신도브래뉴아파트,84.65,202106,15,"        77,000",1,2002,동일로193길 7,,-,-
서울특별시 노원구 공릉동,743,0743,0000,공릉동한보에센시티아파트,59.4,202101,11,"        56,300",12,2000,공릉로46길 19,,-,-
서울특별시 노원구 공릉동,743,0743,0000,공릉동한보에센시티아파트,84.93,202101,20,"        68,500",9,2000,공릉로46길 19,,-,-
서울특별시 노원구 공릉동,743,0743,0000,공릉동한보에센시티아파트,84.93,202102,1,"        68,000",6,2000,공릉로46길 19,,-,-
서울특별시 노원구 공릉동,743,0743,0000,공릉동한보에센시티아파트,114.84,202102,3,"        74,500",7,2000,공릉로46길 19,,-,-
서울특별시 노원구 공릉동,743,0743,0000,공릉동한보에센시티아파트,114.84,202102,3,"        74,500",7,2000,공릉로46길 19,20210209,-,-
